Keyword,homelight.com,zillow.com,realtor.com,Search Volume,Keyword Difficulty,CPC,Competition,Results,Keyword Intents,homelight.com (pages),zillow.com (pages),realtor.com (pages)
mortgage calculator,0,12,11,3350000,100,1.85,0.2,329000000,informational,,https://www.zillow.com/mortgage-calculator/,https://www.realtor.com/mortgage/tools/mortgage-calculator/
apartments near me,0,13,22,1830000,92,0.86,0.28,71,"navigational, transactional",,https://www.zillow.com/charlotte-nc/apartments/,https://www.realtor.com/rentals
realtor.com,0,12,1,1500000,95,0.72,0.08,64,navigational,,https://www.zillow.com/,https://www.realtor.com/
apartments,0,11,6,1220000,100,0.69,0.09,1960000000,navigational,,"https://www.zillow.com/homes/for_rent/condo,apartment_duplex_type/",https://www.realtor.com/rentals
apartments for rent,0,4,8,1220000,100,0.60,0.4,47,navigational,,"https://www.zillow.com/homes/for_rent/condo,apartment_duplex_type/",https://www.realtor.com/rentals
home,0,74,80,1220000,100,0.79,0,25270000000,"commercial, informational",,https://www.zillow.com/,https://www.realtor.com/
houses for sale near me,0,7,9,823000,97,0.74,0.41,55,"informational, transactional",,https://www.zillow.com/homes/for_sale/,https://www.realtor.com/realestateforsale
homes for sale near me,0,5,7,673000,100,0.81,0.37,57,transactional,,https://www.zillow.com/homes/for_sale/,https://www.realtor.com/realestateforsale
mortgage rates,0,26,37,673000,100,2.40,0.38,442000000,informational,,https://www.zillow.com/mortgage-rates/,https://www.realtor.com/mortgage/rates/
apartments for rent near me,0,6,5,550000,100,0.65,0.4,61,"navigational, transactional",,https://www.zillow.com/homes/for_rent/,https://www.realtor.com/rentals
houses for rent near me,0,1,3,550000,90,0.43,0.35,51,"informational, transactional",,https://www.zillow.com/homes/for_rent/,https://www.realtor.com/rentals
boston market,0,49,54,450000,93,0.51,0.02,744000000,navigational,,https://www.zillow.com/boston-ma/,https://www.realtor.com/realestateandhomes-detail/240-Devonshire-St-Unit-3901_Boston_MA_02110_M95360-05873
houses for sale,0,4,1,450000,100,0.67,0.43,72,transactional,,https://www.zillow.com/homes/for_sale/,https://www.realtor.com/
kirklands,0,59,46,450000,94,0.02,0.1,127000000,navigational,,https://www.zillow.com/kirkland-wa/,https://www.realtor.com/realestateandhomes-search/Kirkland_WA
washington dc,0,85,76,450000,100,0.51,0.01,1830000000,informational,,https://www.zillow.com/washington-dc/,https://www.realtor.com/realestateandhomes-search/Washington_DC
bel air,0,14,11,368000,100,1.17,0.02,289000000,"informational, transactional",,https://www.zillow.com/bel-air-los-angeles-ca/,https://www.realtor.com/realestateandhomes-search/Bel-Air_Los-Angeles_CA
houses for rent,0,3,5,368000,92,0.50,0.38,43,informational,,https://www.zillow.com/homes/for_rent/,https://www.realtor.com/rentals
phoenix,0,98,93,368000,100,6.35,0.02,1410000000,"informational, transactional",,https://www.zillow.com/phoenix-az/,https://www.realtor.com/realestateandhomes-search/Phoenix_AZ
zillow.com,0,1,29,368000,94,0.27,0.19,55,navigational,,https://www.zillow.com/,https://www.realtor.com/
albuquerque,0,8,36,301000,100,0.94,0.01,275000000,informational,,https://www.zillow.com/albuquerque-nm/,https://www.realtor.com/realestateandhomes-search/Albuquerque_NM
fort lauderdale,0,17,27,301000,87,0.77,0.02,212000000,informational,,https://www.zillow.com/fort-lauderdale-fl/,https://www.realtor.com/realestateandhomes-search/Fort-Lauderdale_FL
homes for sale,0,2,1,301000,100,0.66,0.37,72,transactional,,https://www.zillow.com/homes/for_sale/,https://www.realtor.com/realestateforsale
real estate,0,1,7,301000,100,1.15,0.15,2170000000,commercial,,https://www.zillow.com/,https://www.realtor.com/
asheville nc,0,17,25,246000,100,0.40,0.06,95700000,"informational, navigational",,https://www.zillow.com/asheville-nc/,https://www.realtor.com/realestateandhomes-search/Asheville_NC
barndominium,0,50,19,246000,65,0.36,1,5310000,informational,,https://www.zillow.com/tx/barndominium_att/,https://www.realtor.com/advice/buy/how-much-does-it-cost-to-build-a-barndominium/
colorado springs,0,15,71,246000,99,0.68,0.03,403000000,informational,,https://www.zillow.com/colorado-springs-co/,https://www.realtor.com/realestateandhomes-search/Colorado-Springs_CO
destin florida,0,66,23,246000,82,0.70,0.1,28100000,informational,,https://www.zillow.com/destin-fl/,https://www.realtor.com/realestateandhomes-search/Destin_FL
housing market,0,13,43,246000,75,1.23,0.04,1240000000,"informational, transactional",,https://www.zillow.com/,https://www.realtor.com/news/trends/column-weekly-housing-update-20-august-buzzword/
la quinta,0,31,25,246000,80,0.84,0.12,95,navigational,,https://www.zillow.com/la-quinta-ca/,https://www.realtor.com/realestateandhomes-search/La-Quinta_CA
land for sale near me,0,6,12,246000,74,0.36,0.45,62,transactional,,https://www.zillow.com/fayetteville-nc/land/,https://www.realtor.com/realestateandhomes-search/Houston_TX/type-land
manhattan,0,77,38,246000,93,0.71,0.01,721000000,informational,,https://www.zillow.com/manhattan-new-york-ny/,https://www.realtor.com/realestateandhomes-search/Manhattan_NY
minneapolis,0,76,77,246000,100,0.96,0,503000000,"informational, transactional",,https://www.zillow.com/minneapolis-mn/,https://www.realtor.com/realestateandhomes-search/Minneapolis_MN
myatt,0,86,50,246000,68,2.08,0.14,3550000,"informational, transactional",,https://www.zillow.com/homedetails/2514-Myatt-Ln-El-Campo-TX-77437/87595329_zpid/,https://www.realtor.com/realestateagents/56b072f789a68901006c3fa5
salt lake city,0,60,67,246000,95,0.66,0.01,557000000,informational,,https://www.zillow.com/salt-lake-city-ut/,https://www.realtor.com/realestateandhomes-search/Salt-Lake-City_UT
virginia beach,0,91,32,246000,93,0.81,0.07,571000000,"informational, navigational",,https://www.zillow.com/virginia-beach-va/,https://www.realtor.com/realestateandhomes-search/Virginia-Beach_VA
apartments.com,0,39,48,201000,83,0.59,0.31,72,navigational,,https://www.zillow.com/,https://www.realtor.com/rentals
charleston sc,0,28,52,201000,87,0.39,0.1,223000000,informational,,https://www.zillow.com/charleston-sc/,https://www.realtor.com/realestateandhomes-search/Charleston_SC
coopers hawk,0,93,94,201000,83,0.33,0.01,1490000,navigational,,https://www.zillow.com/homedetails/16549-Coopers-Hawk-Ave-Clermont-FL-34714/45340570_zpid/,https://www.realtor.com/realestateandhomes-detail/7720-Coopers-Hawk-Trl_Machesney-Park_IL_61115_M81307-42614
current mortgage rates,0,12,76,201000,100,2.20,0.4,603000000,informational,,https://www.zillow.com/mortgage-rates/,https://www.realtor.com/mortgage/rates/
estate sales near me,0,63,60,201000,80,0.52,0.09,93,"navigational, transactional",,https://www.zillow.com/,https://www.realtor.com/soldhomes
homes for rent near me,0,1,4,201000,96,0.49,0.38,53,"informational, transactional",,https://www.zillow.com/homes/for_rent/,https://www.realtor.com/rentals
honolulu,0,37,95,201000,94,0.68,0.03,251000000,informational,,https://www.zillow.com/honolulu-hi/,https://www.realtor.com/realestateandhomes-search/Honolulu_HI
house for sale near me,0,6,8,201000,97,0.74,0.41,49,"informational, transactional",,https://www.zillow.com/homes/for_sale/,https://www.realtor.com/realestateforsale
mobile homes for sale,0,8,11,201000,85,0.54,0.38,92,transactional,,https://www.zillow.com/il/mobile/,https://www.realtor.com/realestateandhomes-search/San-Jose_CA/type-mfd-mobile-home
mortgage payment calculator,0,8,15,201000,100,1.59,0.2,447000000,informational,,https://www.zillow.com/mortgage-calculator/,https://www.realtor.com/mortgage/tools/mortgage-calculator/
new york city,0,84,82,201000,100,0.66,0.01,7570000000,informational,,https://www.zillow.com/new-york-ny/,https://www.realtor.com/realestateandhomes-search/New-York_NY
nonchalant,0,96,88,201000,64,0.00,0,22800000,commercial,,https://www.zillow.com/homedetails/1355-Nonchalant-Dr-Simi-Valley-CA-93065/16449381_zpid/,https://www.realtor.com/realestateandhomes-detail/1177-Nonchalant-Dr_Simi-Valley_CA_93065_M25577-35112
pigeon forge,0,88,70,201000,87,0.69,0.11,14300000,informational,,https://www.zillow.com/pigeon-forge-tn/,https://www.realtor.com/realestateandhomes-search/Pigeon-Forge_TN
rent,0,14,19,201000,100,0.79,0.21,3190000000,"informational, transactional",,https://www.zillow.com/homes/for_rent/,https://www.realtor.com/rentals
streeteasy,0,58,63,201000,76,0.28,0.05,89,navigational,,https://www.zillow.com/new-york-ny/apartments/,https://www.realtor.com/apartments/White-Plains_NY
tarek el moussa,0,31,63,201000,76,22.81,0,4050000,informational,,https://www.zillow.com/profile/TarekElMoussa,https://www.realtor.com/news/trends/surprising-facts-about-tarek-el-moussa/
zillow homes for sale,0,1,36,201000,91,0.37,0.24,86,"navigational, transactional",,https://www.zillow.com/homes/for_sale/,https://www.realtor.com/
apartment,0,12,28,165000,100,0.69,0.09,1900000000,navigational,,https://www.zillow.com/,https://www.realtor.com/rentals
