Keyword,homelight.com,zillow.com,realtor.com,Search Volume,Keyword Difficulty,CPC,Competition,Results,Keyword Intents,homelight.com (pages),zillow.com (pages),realtor.com (pages)
shiplap,78,0,0,90500,69,0.51,1,16700000,"informational, transactional",https://www.homelight.com/blog/shiplap/,,
las vegas time,68,0,0,74000,58,0.00,0,945000000,informational,https://www.homelight.com/best-time-to-sell-house/las-vegas-nv,,
shipping container homes,43,0,0,60500,66,0.90,1,215000000,"informational, transactional",https://www.homelight.com/blog/buyer-shipping-container-home-design/,,
ceiling fans with lights,95,0,0,40500,78,1.03,1,70200000,commercial,https://www.homelight.com/blog/are-ceiling-fans-out-of-style/,,
general contractor,89,0,0,40500,75,4.39,0.14,397000000,"commercial, informational",https://www.homelight.com/blog/general-contractors/,,
offerpad,43,0,0,40500,77,21.51,0.48,1950000,navigational,https://www.homelight.com/blog/how-does-offerpad-work/,,
shiplap wall,63,0,0,40500,66,0.50,1,15300000,"informational, transactional",https://www.homelight.com/blog/shiplap/,,
time in dallas,81,0,0,40500,53,0.00,0,1210000000,informational,https://www.homelight.com/best-time-to-sell-house/dallas-tx,,
everything but the house,72,0,0,33100,58,0.14,0.07,4110000000,navigational,https://www.homelight.com/blog/how-to-sell-a-house-full-of-stuff/,,
septic tank pumping,11,0,0,33100,66,5.07,0.49,28200000,"commercial, informational",https://www.homelight.com/blog/how-much-does-it-cost-to-pump-a-septic-tank/,,
sundae,58,0,0,33100,77,52.08,0.03,70700000,"informational, navigational",https://www.homelight.com/blog/sundae-com-reviews/,,
time in ga,91,0,0,33100,50,0.00,0,5350000000,informational,https://www.homelight.com/best-time-to-sell-house/atlanta-ga,,
vertical blinds,62,0,0,33100,72,2.68,1,43100000,"informational, transactional",https://www.homelight.com/blog/are-vertical-blinds-out-of-style/,,
what time is it in seattle,82,0,0,33100,62,0.00,0,1090000000,informational,https://www.homelight.com/best-time-to-sell-house/seattle-wa,,
acclimated,88,0,0,27100,59,0.63,0,52100000,informational,https://www.homelight.com/blog/homeownership/getting-acclimated/,,
ceiling fan with light,85,0,0,27100,78,1.03,1,218000000,commercial,https://www.homelight.com/blog/are-ceiling-fans-out-of-style/,,
closing cost calculator,55,0,0,27100,69,1.48,0.34,420000000,commercial,https://www.homelight.com/closing-costs-calculator,,
home depot carpet,30,0,0,27100,68,3.16,1,82,"informational, transactional",https://www.homelight.com/blog/how-much-does-it-cost-to-carpet-a-10x12-room/,,
house flipper,79,0,0,27100,66,1.73,0.34,10700000,"informational, transactional",https://www.homelight.com/blog/sell-house-to-flipper/,,
how to clean dishwasher,88,0,0,27100,76,0.52,0.68,0,informational,https://www.homelight.com/blog/how-to-deep-clean-dishwasher/,,
nextdoor neighbor,29,0,0,27100,87,0.07,0.1,52,"informational, navigational",https://www.homelight.com/blog/selling-a-house-on-nextdoor/,,
popcorn ceiling,86,0,0,27100,47,1.75,0.83,0,informational,https://www.homelight.com/blog/popcorn-ceiling-removal-cost/,,
fireplace ideas,93,0,0,22200,71,0.45,1,469000000,informational,https://www.homelight.com/blog/fireplace-ideas/,,
gray color,81,0,0,22200,71,0.16,0.15,9740000000,commercial,https://www.homelight.com/blog/is-gray-paint-going-out-of-style/,,
housewarming gift ideas,95,0,0,22200,71,0.37,1,16900000,informational,https://www.homelight.com/blog/buyer-housewarming-party-gifts/,,
kitchenette,66,0,0,22200,59,0.51,1,70200000,informational,https://www.homelight.com/blog/kitchenette/,,
loft apartments,72,0,0,22200,77,0.69,0.09,126000000,"navigational, transactional",https://www.homelight.com/blog/buyer-what-is-a-loft-apartment/,,
time in nashville,67,0,0,22200,45,0.00,0,676000000,informational,https://www.homelight.com/best-time-to-sell-house/nashville-tn,,
to the window to the wall,58,0,0,22200,39,5.28,0,1420000000,"informational, transactional",https://www.homelight.com/blog/cost-to-add-a-window/,,
backyard patio ideas,80,0,0,18100,72,1.48,1,84400000,informational,https://www.homelight.com/blog/backyard-patio-ideas/,,
bed in a bag,76,0,0,18100,72,1.15,1,861000000,transactional,https://www.homelight.com/blog/how-to-stage-a-bed/,,
bed skirt,17,0,0,18100,69,0.86,1,239000000,"informational, transactional",https://www.homelight.com/blog/are-bed-skirts-out-of-style/,,
brittany mcgraw,35,0,0,18100,21,0.00,0,2010000,informational,https://www.homelight.com/agents/brittany-mcgraw-ga-395989,,
how to clean a dishwasher,86,0,0,18100,69,0.52,0.68,80100000,informational,https://www.homelight.com/blog/how-to-deep-clean-dishwasher/,,
master bedroom,3,0,0,18100,70,2.16,1,420000000,informational,https://www.homelight.com/blog/buyer-master-bedroom/,,
screened in porch,9,0,0,18100,68,2.20,1,113000000,commercial,https://www.homelight.com/blog/cost-to-add-a-screened-in-porch/,,
screened in porch ideas,66,0,0,18100,59,2.03,1,186000000,informational,https://www.homelight.com/blog/cost-to-add-a-screened-in-porch/,,
shiplap walls,83,0,0,18100,70,0.50,1,15300000,informational,https://www.homelight.com/blog/shiplap/,,
subway tile backsplash,95,0,0,18100,44,0.84,1,12100000,"commercial, informational",https://www.homelight.com/blog/are-subway-tiles-out-of-style/,,
what percentage,51,0,0,18100,87,0.00,0,7980000000,informational,https://www.homelight.com/blog/what-percentage-do-realtors-make/,,
basement ideas,52,0,0,14800,62,1.70,0.85,282000000,informational,https://www.homelight.com/blog/basement-design-ideas/,,
bathroom remodel cost,10,0,0,14800,74,4.98,1,32200000,informational,https://www.homelight.com/blog/how-much-to-remodel-a-bathroom/,,
cross country movers,39,0,0,14800,74,31.67,0.71,1570000000,commercial,https://www.homelight.com/blog/buyer-how-to-move-across-the-country/,,
disparate impact,86,0,0,14800,68,1.34,0.01,87000000,informational,https://www.homelight.com/blog/buyer-what-is-disparate-impact/,,
moving on quotes,85,0,0,14800,57,5.36,0.12,2040000000,informational,https://www.homelight.com/blog/moving-quotes/,,
out back,87,0,0,14800,79,0.66,0.1,17700000000,navigational,https://www.homelight.com/blog/can-seller-back-out-real-estate-contract/,,
pest inspection,4,0,0,14800,50,12.57,0.38,34600000,commercial,https://www.homelight.com/blog/pest-inspection-before-closing/,,
popcorn ceiling removal,10,0,0,14800,58,2.16,0.97,26000000,"commercial, informational",https://www.homelight.com/blog/popcorn-ceiling-removal-cost/,,
probate attorney,26,0,0,14800,59,9.61,0.25,133000000,commercial,https://www.homelight.com/blog/what-is-a-probate-attorney/,,
sherwin williams agreeable gray,77,0,0,14800,63,0.48,1,348000,"commercial, informational",https://www.homelight.com/blog/is-gray-paint-going-out-of-style/,,
ship lap,82,0,0,14800,66,0.51,1,19000000,informational,https://www.homelight.com/blog/shiplap/,,
skylights,89,0,0,14800,76,1.94,1,0,commercial,https://www.homelight.com/blog/do-skylights-increase-home-value/,,
time atlanta ga,77,0,0,14800,52,0.00,0,567000000,informational,https://www.homelight.com/best-time-to-sell-house/atlanta-ga,,
time in austin tx,71,0,0,14800,49,0.00,0,595000000,informational,https://www.homelight.com/best-time-to-sell-house/austin-tx,,
we buy houses,6,0,0,14800,59,24.28,0.35,1200000000,transactional,https://www.homelight.com/blog/sell-your-house-for-cash/,,
what time is it in austin texas,82,0,0,14800,54,0.00,0,675000000,informational,https://www.homelight.com/best-time-to-sell-house/austin-tx,,
appraisers near me,8,0,0,12100,74,3.40,0.29,305000000,transactional,https://www.homelight.com/blog/appraisers-near-me/,,
deck stain,80,0,0,12100,70,1.20,1,74900000,commercial,https://www.homelight.com/blog/how-to-stain-a-deck/,,
double sink vanity,63,0,0,12100,68,1.13,1,30600000,"informational, transactional",https://www.homelight.com/blog/add-double-sink-vanity/,,
fastest growing cities in the us,19,0,0,12100,71,1.05,0,60000000,informational,https://www.homelight.com/blog/fastest-growing-cities/,,
finished basement ideas,46,0,0,12100,69,2.49,0.29,141000000,informational,https://www.homelight.com/blog/basement-design-ideas/,,
fire damage,20,0,0,12100,56,14.86,0.05,669000000,commercial,https://www.homelight.com/blog/selling-a-house-with-fire-damage/,,
georgia real estate commission,25,0,0,12100,76,3.54,0.06,34200000,navigational,https://www.homelight.com/atlanta-ga/real-estate-agent-commissions,,
kitchen remodel cost,9,0,0,12100,75,3.18,0.52,39100000,informational,https://www.homelight.com/blog/how-much-to-remodel-a-kitchen/,,
painter near me,71,0,0,12100,75,7.68,0.45,3200000000,transactional,https://www.homelight.com/blog/find-house-painters/,,
powder room ideas,48,0,0,12100,63,1.21,1,347000000,informational,https://www.homelight.com/blog/powder-room-ideas/,,
remodel bathroom,30,0,0,12100,89,8.60,0.97,223000000,informational,https://www.homelight.com/blog/does-a-bathroom-remodel-increase-home-value/,,
roof inspection,27,0,0,12100,59,11.66,0.39,85000000,"commercial, informational",https://www.homelight.com/blog/roof-inspection/,,
roof replacement cost,16,0,0,12100,82,7.83,0.52,0,informational,https://www.homelight.com/blog/how-much-does-it-cost-to-replace-a-roof/,,
screen porch,35,0,0,12100,75,2.20,1,104000000,"commercial, informational",https://www.homelight.com/blog/cost-to-add-a-screened-in-porch/,,
security systems homes,96,0,0,12100,91,20.32,1,3610000000,commercial,https://www.homelight.com/blog/does-adding-a-security-system-increase-home-value/,,
stigmatized,59,0,0,12100,51,0.00,0,63300000,informational,https://www.homelight.com/blog/what-is-a-stigmatized-property/,,
tucson az time,64,0,0,12100,44,0.00,0,182000000,informational,https://www.homelight.com/best-time-to-sell-house/tucson-az,,
valance curtains,51,0,0,12100,74,0.87,1,951000000,"informational, transactional",https://www.homelight.com/blog/are-valences-out-of-style/,,
window valances,47,0,0,12100,78,0.97,1,11100000,commercial,https://www.homelight.com/blog/are-valences-out-of-style/,,
70000 a year is how much an hour,33,0,0,9900,41,0.00,0,19600000,informational,https://www.homelight.com/blog/buyer-i-make-70000-a-year-how-much-house-can-i-afford/,,
basement remodeling,9,0,0,9900,71,5.74,0.11,22100000,commercial,https://www.homelight.com/blog/average-cost-of-basement-remodel/,,
bedroom colors,57,0,0,9900,75,0.53,1,929000000,"commercial, informational",https://www.homelight.com/blog/best-bedroom-colors-to-sell-a-house/,,
bedroom paint colors,69,0,0,9900,73,0.54,1,301000000,"commercial, informational",https://www.homelight.com/blog/best-bedroom-colors-to-sell-a-house/,,
