Keyword,homelight.com,zillow.com,realtor.com,Search Volume,Keyword Difficulty,CPC,Competition,Results,Keyword Intents,homelight.com (pages),zillow.com (pages),realtor.com (pages)
zillow,0,1,0,16600000,100,0.09,0.13,63,navigational,,https://www.zillow.com/,
calculator,0,98,0,13600000,98,0.00,0.02,4030000000,transactional,,https://www.zillow.com/mortgage-calculator/,
mortgage calculator,0,12,11,3350000,100,1.85,0.2,329000000,informational,,https://www.zillow.com/mortgage-calculator/,https://www.realtor.com/mortgage/tools/mortgage-calculator/
pnc bank,0,86,0,2240000,100,2.55,0.07,88,navigational,,https://www.zillow.com/lender-directory/,
apartments near me,0,13,22,1830000,92,0.86,0.28,71,"navigational, transactional",,https://www.zillow.com/charlotte-nc/apartments/,https://www.realtor.com/rentals
realtor.com,0,12,1,1500000,95,0.72,0.08,64,navigational,,https://www.zillow.com/,https://www.realtor.com/
white pages,0,91,0,1500000,98,0.16,0.21,5450000000,"informational, navigational",,https://www.zillow.com/research/,
apartments,0,11,6,1220000,100,0.69,0.09,1960000000,navigational,,"https://www.zillow.com/homes/for_rent/condo,apartment_duplex_type/",https://www.realtor.com/rentals
apartments for rent,0,4,8,1220000,100,0.60,0.4,47,navigational,,"https://www.zillow.com/homes/for_rent/condo,apartment_duplex_type/",https://www.realtor.com/rentals
home,0,74,80,1220000,100,0.79,0,25270000000,"commercial, informational",,https://www.zillow.com/,https://www.realtor.com/
rooms to go,0,0,85,1220000,95,3.53,0.33,1360000000,navigational,,,https://www.realtor.com/advice/home-improvement/how-to-add-a-secret-room-to-your-house/
ja morant,0,0,35,1000000,76,0.32,0.01,9160000,informational,,,https://www.realtor.com/news/celebrity-real-estate/ja-morant-buys-mansion-next-door-to-dads-home/
trulia,0,3,0,1000000,94,1.10,0.02,65,navigational,,https://www.zillow.com/,
aol mail login,0,39,0,823000,97,0.95,0.02,54,"navigational, transactional",,https://www.zillow.com/,
furniture stores near me,0,0,94,823000,94,2.43,1,2190000000,transactional,,,https://www.realtor.com/advice/home-improvement/furniture-stores-money-saving-tricks/
houses for sale near me,0,7,9,823000,97,0.74,0.41,55,"informational, transactional",,https://www.zillow.com/homes/for_sale/,https://www.realtor.com/realestateforsale
las vegas,0,0,93,823000,100,0.65,0.05,1310000000,informational,,,https://www.realtor.com/realestateandhomes-search/Las-Vegas_NV
mls,0,0,61,823000,100,0.73,0.02,404000000,navigational,,,https://www.realtor.com/advice/buy/what-is-the-mls-multiple-listing-service/
nextdoor,0,0,70,823000,95,0.02,0.07,95,"informational, navigational",,,https://www.realtor.com/news/celebrity-real-estate/ja-morant-buys-mansion-next-door-to-dads-home/
cole hauser,0,0,79,673000,64,0.00,0,9550000,informational,,,https://www.realtor.com/news/celebrity-real-estate/cole-hauser-selling-horse-ranch-in-agoura-hills/
craigslist phoenix,0,56,0,673000,60,1.35,0,63,navigational,,https://www.zillow.com/homes/for_sale/,
craigslist seattle,0,51,0,673000,44,1.11,0,90,navigational,,https://www.zillow.com/seattle-wa/apartments/,
homes for sale near me,0,5,7,673000,100,0.81,0.37,57,transactional,,https://www.zillow.com/homes/for_sale/,https://www.realtor.com/realestateforsale
mortgage rates,0,26,37,673000,100,2.40,0.38,442000000,informational,,https://www.zillow.com/mortgage-rates/,https://www.realtor.com/mortgage/rates/
oreilly,0,77,0,673000,100,0.07,0.03,123000000,navigational,,https://www.zillow.com/homedetails/2810-Oreilly-St-New-Orleans-LA-70119/148982429_zpid/,
apartments for rent near me,0,6,5,550000,100,0.65,0.4,61,"navigational, transactional",,https://www.zillow.com/homes/for_rent/,https://www.realtor.com/rentals
atlanta,0,0,88,550000,100,0.83,0,1500000000,informational,,,https://www.realtor.com/realestateandhomes-search/Atlanta_GA
craigslist portland,0,47,0,550000,50,1.35,0,87,navigational,,https://www.zillow.com/portland-or/apartments/,
derrick henry,0,0,68,550000,85,1.78,0,86,"informational, transactional",,,https://www.realtor.com/news/celebrity-real-estate/derrick-henry-buys-dallas-home/
houses for rent near me,0,1,3,550000,90,0.43,0.35,51,"informational, transactional",,https://www.zillow.com/homes/for_rent/,https://www.realtor.com/rentals
loan calculator,0,25,0,550000,89,0.77,0.21,666000000,informational,,https://www.zillow.com/mortgage-calculator/,
pho near me,0,58,0,550000,53,1.96,0.01,83,transactional,,https://www.zillow.com/phoenix-az/,
access florida,0,0,87,450000,97,0.96,0,1300000000,informational,,,https://www.realtor.com/realestateagency/6161f488afa63700122a19a3
boston market,0,49,54,450000,93,0.51,0.02,744000000,navigational,,https://www.zillow.com/boston-ma/,https://www.realtor.com/realestateandhomes-detail/240-Devonshire-St-Unit-3901_Boston_MA_02110_M95360-05873
