Keyword,homelight.com,zillow.com,realtor.com,Search Volume,Keyword Difficulty,CPC,Competition,Results,Keyword Intents,homelight.com (pages),zillow.com (pages),realtor.com (pages)
realtor,29,11,1,3350000,98,1.12,0.16,250000000,navigational,https://www.homelight.com/blog/find-a-realtor/,https://www.zillow.com/,https://www.realtor.com/
how much house can i afford,31,4,20,246000,88,1.77,0.32,0,informational,https://www.homelight.com/how-much-house-can-i-afford,https://www.zillow.com/mortgage-calculator/house-affordability/,https://www.realtor.com/mortgage/tools/affordability-calculator/
sherri kramer,79,67,46,90500,48,0.00,0,1030000,informational,https://www.homelight.com/agents/sherri-kramer-il-11001710115ks,https://www.zillow.com/profile/Sherri%20Kramer,https://www.realtor.com/realestateagents/56bc55b67e54f7010021ccc7
real estate agent,66,39,5,74000,100,7.84,0.32,1010000000,commercial,https://www.homelight.com/,https://www.zillow.com/home-buying-guide/hire-real-estate-agent-for-buyers/,https://www.realtor.com/realestateagents/
rent to own,29,17,27,60500,90,1.41,0.42,856000000,commercial,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,https://www.zillow.com/mortgage-learning/rent-to-own/,https://www.realtor.com/advice/buy/rent-to-own-scams/
how much mortgage can i afford,74,4,22,49500,89,1.74,0.31,109000000,informational,https://www.homelight.com/blog/buyer-how-much-mortgage-can-i-afford/,https://www.zillow.com/mortgage-calculator/house-affordability/,https://www.realtor.com/mortgage/tools/affordability-calculator/
open houses near me,17,4,7,49500,65,0.69,0.34,51,"informational, transactional",https://www.homelight.com/blog/buyer-how-to-find-open-houses/,https://www.zillow.com/san-antonio-tx/open-house/,https://www.realtor.com/realestateandhomes-search/Maine/show-open-house
rent to own homes near me,11,9,4,49500,71,1.09,0.51,83,transactional,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,https://www.zillow.com/kansas-city-mo/available-for-lease-to-own_att/,https://www.realtor.com/rent-to-own
wake county real estate,42,8,6,49500,70,1.15,0.01,25400000,"navigational, transactional",https://www.homelight.com/wake-county-nc/top-real-estate-agents,https://www.zillow.com/wake-county-nc/,https://www.realtor.com/realestateandhomes-search/Wake-County_NC
home value estimator,7,2,6,40500,91,2.56,0.62,1800000000,informational,https://www.homelight.com/home-value-estimator,https://www.zillow.com/how-much-is-my-home-worth/,https://www.realtor.com/myhome/
how much home can i afford,29,4,21,40500,89,2.05,0.31,505000000,informational,https://www.homelight.com/how-much-house-can-i-afford,https://www.zillow.com/mortgage-calculator/house-affordability/,https://www.realtor.com/mortgage/tools/affordability-calculator/
realator,27,13,1,40500,100,1.12,0.16,248000000,navigational,https://www.homelight.com/blog/find-a-realtor/,https://www.zillow.com/,https://www.realtor.com/
