Keyword,homelight.com,redfin.com,trulia.com,remax.com,compass.com,Search Volume,Keyword Difficulty,CPC,Competition,Results,Keyword Intents,homelight.com (pages),redfin.com (pages),trulia.com (pages),remax.com (pages),compass.com (pages)
zillow,0,0,62,0,0,16600000,100,0.09,0.13,63,navigational,,,"https://www.trulia.com/for_sale/14127_zip/APARTMENT,CONDO,COOP_type/",,
mortgage calculator,0,56,33,0,54,3350000,100,1.85,0.2,329000000,informational,,https://www.redfin.com/mortgage-calculator,https://www.trulia.com/mortgage-payment-calculator/,,https://www.compass.com/calculators/mortgage-calculator/
redfin,0,1,0,0,0,2240000,99,0.83,0.16,74,navigational,,https://www.redfin.com/,,,
apartments near me,0,38,10,47,0,1830000,92,0.86,0.28,71,"navigational, transactional",,https://www.redfin.com/rentals,https://www.trulia.com/apartments-for-rent-near-me/,https://www.remax.com/homes-for-sale,
realtor.com,0,0,40,29,0,1500000,95,0.72,0.08,64,navigational,,,https://www.trulia.com/,https://www.remax.com/,
apartments,0,46,58,0,64,1220000,100,0.69,0.09,1960000000,navigational,,https://www.redfin.com/rentals,https://www.trulia.com/apartments-for-rent-near-me/,,https://www.compass.com/for-rent/brooklyn-ny/
apartments for rent,0,15,7,0,0,1220000,100,0.60,0.4,47,navigational,,https://www.redfin.com/rentals,"https://www.trulia.com/for_rent/Chicago,IL/",,
trulia,0,0,1,0,0,1000000,94,1.10,0.02,65,navigational,,,https://www.trulia.com/,,
houses for sale near me,0,1,4,3,0,823000,97,0.74,0.41,55,"informational, transactional",,https://www.redfin.com/houses-near-me,https://www.trulia.com/houses-for-sale-near-me/,https://www.remax.com/homes-for-sale,
las vegas,0,89,0,0,0,823000,100,0.65,0.05,1310000000,informational,,https://www.redfin.com/city/10201/NV/Las-Vegas,,,
los angeles,0,82,0,0,0,823000,100,1.00,0.01,3140000000,informational,,https://www.redfin.com/city/11203/CA/Los-Angeles,,,
compass,0,0,0,0,1,673000,100,0.26,0.18,692000000,"informational, transactional",,,,,https://www.compass.com/
homes for sale near me,0,1,8,3,39,673000,100,0.81,0.37,57,transactional,,https://www.redfin.com/houses-near-me,https://www.trulia.com/houses-for-sale-near-me/,https://www.remax.com/homes-for-sale,https://www.compass.com/homes-for-sale/school/acadia-academy-school-lewiston-me-04240/
hotmail.com,0,0,0,96,0,673000,97,0.55,0.01,533000000,informational,,,,https://www.remax.com/real-estate-agents/donna-portale-sarasota-fl/102172366,
mortgage rates,0,0,76,0,0,673000,100,2.40,0.38,442000000,informational,,,https://www.trulia.com/mortgage-rates/,,
san francisco,0,74,0,0,0,673000,100,0.63,0.01,2170000000,informational,,https://www.redfin.com/city/17151/CA/San-Francisco,,,
storage units near me,0,95,0,0,0,673000,98,5.30,0.26,430000000,transactional,,https://www.redfin.com/houses-near-me,,,
apartments for rent near me,0,23,3,0,35,550000,100,0.65,0.4,61,"navigational, transactional",,https://www.redfin.com/rentals,https://www.trulia.com/apartments-for-rent-near-me/,,https://www.compass.com/
houses for rent near me,0,17,2,7,36,550000,90,0.43,0.35,51,"informational, transactional",,https://www.redfin.com/houses-near-me,"https://www.trulia.com/for_rent/Memphis,TN/SINGLE-FAMILY_HOME_type/",https://www.remax.com/homes-for-rent,https://www.compass.com/
rue 21,0,81,0,0,0,550000,76,0.48,0.21,594000000,navigational,,https://www.redfin.com/CA/Foothill-Ranch/77-Rue-Monet-92610/home/5249658,,,
seattle,0,68,0,0,0,550000,100,0.62,0.01,1640000000,informational,,https://www.redfin.com/city/16163/WA/Seattle,,,
access florida,0,0,0,0,24,450000,97,0.96,0,1300000000,informational,,,,,https://www.compass.com/agents/access-florida-team/
culver's,0,0,51,0,0,450000,69,2.07,0,82,navigational,,,https://www.trulia.com/p/id/sandpoint/nna-culvers-dr-sandpoint-id-83864--2593762902,,
houses for sale,0,9,3,6,0,450000,100,0.67,0.43,72,transactional,,https://www.redfin.com/,https://www.trulia.com/,https://www.remax.com/,
kirklands,0,70,0,0,0,450000,94,0.02,0.1,127000000,navigational,,https://www.redfin.com/city/9148/WA/Kirkland,,,
