Keyword,homelight.com,homes.com,century21.com,coldwellbanker.com,sothebysrealty.com,Search Volume,Keyword Difficulty,CPC,Competition,Results,Keyword Intents,homelight.com (pages),homes.com (pages),century21.com (pages),coldwellbanker.com (pages),sothebysrealty.com (pages)
real estate,0,54,5,4,47,301000,100,1.15,0.15,2170000000,commercial,,https://www.homes.com/,https://www.century21.com/,https://www.coldwellbanker.com/,https://www.sothebysrealty.com/eng
corolla nc,0,78,75,13,97,18100,61,0.67,0.16,28600000,informational,,https://www.homes.com/corolla-nc/,https://www.century21.com/real-estate/corolla-nc/LCNCCOROLLA/,https://www.coldwellbanker.com/for-sale-homes/Corolla-NC-41109c,https://www.sothebysrealty.com/eng/sales/corolla-nc-usa
florida real estate,0,8,3,77,20,18100,87,0.56,0.32,584000000,informational,,https://www.homes.com/florida/,https://www.century21.com/real-estate/florida/LSFL/,https://www.coldwellbanker.com/florida-real-estate-brokers?src=hp,https://www.sothebysrealty.com/eng/sales/fl-usa
houses for sale in texas,0,7,6,58,12,18100,77,0.59,0.38,533000000,"informational, transactional",,https://www.homes.com/texas/,https://www.century21.com/real-estate/texas/LSTX/,https://www.coldwellbanker.com/texas-real-estate-brokers?src=hp,https://www.sothebysrealty.com/eng/sales/tx-usa
property for sale,0,93,47,96,14,18100,100,0.68,0.42,3260000000,transactional,,https://www.homes.com/homes-for-sale/,https://www.century21.com/property-search,https://www.coldwellbanker.com/coldwell-banker-evenbay-real-estate-51431c,https://www.sothebysrealty.com/eng/sales/int
homes for sale in tennessee,0,4,6,66,12,14800,72,0.39,0.3,56200000,"informational, transactional",,https://www.homes.com/tennessee/,https://www.century21.com/real-estate/tennessee/LSTN/,https://www.coldwellbanker.com/,https://www.sothebysrealty.com/eng/sales/tn-usa
homes for sale florida,0,6,5,66,14,12100,77,0.58,0.35,194000000,"informational, transactional",,https://www.homes.com/florida/,https://www.century21.com/real-estate/florida/LSFL/,https://www.coldwellbanker.com/florida-real-estate-brokers?src=hp,https://www.sothebysrealty.com/eng/sales/fl-usa
homes for sale in colorado springs,0,8,9,10,11,12100,70,1.59,0.4,28400000,"informational, transactional",,https://www.homes.com/colorado-springs-co/,https://www.century21.com/real-estate/colorado-springs-co/LCCOCOLORADOSPRINGS/,https://www.coldwellbanker.com/for-sale-homes/Colorado-Springs-CO-2160c,https://www.sothebysrealty.com/eng/sales/colorado-springs-co-usa
homes for sale in maine,0,11,5,31,17,12100,76,0.25,0.21,52100000,"informational, transactional",,https://www.homes.com/maine/,https://www.century21.com/real-estate/maine/LSME/,https://www.coldwellbanker.com/maine-real-estate-brokers?src=hp,https://www.sothebysrealty.com/eng/sales/me-usa
homes for sale in michigan,0,6,5,24,12,12100,72,0.35,0.29,80000000,"informational, transactional",,https://www.homes.com/michigan/,https://www.century21.com/real-estate/michigan/LSMI/,https://www.coldwellbanker.com/michigan-real-estate-brokers?src=hp,https://www.sothebysrealty.com/eng/sales/mi-usa
homes for sale in montana,0,7,4,19,9,12100,71,0.24,0.3,34300000,"informational, transactional",,https://www.homes.com/montana/,https://www.century21.com/real-estate/montana/LSMT/,https://www.coldwellbanker.com/for-sale-homes/Montana-Great-Falls-MT-869114s,https://www.sothebysrealty.com/eng/sales/mt-usa
homes for sale in south carolina,0,6,5,26,12,12100,69,0.55,0.34,90800000,"informational, transactional",,https://www.homes.com/south-carolina/,https://www.century21.com/real-estate/south-carolina/LSSC/,https://www.coldwellbanker.com/south-carolina-real-estate-brokers?src=hp,https://www.sothebysrealty.com/eng/sales/sc-usa
homes for sale in texas,0,6,5,24,14,12100,70,0.51,0.34,209000000,"informational, transactional",,https://www.homes.com/texas/,https://www.century21.com/real-estate/texas/LSTX/,https://www.coldwellbanker.com/for-sale-homes/Texas-City-TX-8889c,https://www.sothebysrealty.com/eng/sales/tx-usa
