Keyword,homelight.com,homes.com,century21.com,coldwellbanker.com,sothebysrealty.com,Search Volume,Keyword Difficulty,CPC,Competition,Results,Keyword Intents,homelight.com (pages),homes.com (pages),century21.com (pages),coldwellbanker.com (pages),sothebysrealty.com (pages)
mortgage calculator,0,0,40,0,0,3350000,100,1.85,0.2,329000000,informational,,,https://www.century21.com/calculators/mortgage,,
apartments near me,0,25,0,0,0,1830000,92,0.86,0.28,71,"navigational, transactional",,https://www.homes.com/homes-for-rent/,,,
apple tv,0,0,0,0,38,1500000,100,1.17,0.52,100,"navigational, transactional",,,,,https://www.sothebysrealty.com/eng/appletv
apartments for rent,0,17,0,0,0,1220000,100,0.60,0.4,47,navigational,,https://www.homes.com/apartments-for-rent/,,,
houses for sale near me,0,6,0,13,0,823000,97,0.74,0.41,55,"informational, transactional",,https://www.homes.com/homes-for-sale/,,https://www.coldwellbanker.com/,
homes for sale near me,0,4,0,10,0,673000,100,0.81,0.37,57,transactional,,https://www.homes.com/homes-for-sale/,,https://www.coldwellbanker.com/,
apartments for rent near me,0,14,0,0,0,550000,100,0.65,0.4,61,"navigational, transactional",,https://www.homes.com/homes-for-rent/,,,
houses for rent near me,0,4,0,39,0,550000,90,0.43,0.35,51,"informational, transactional",,https://www.homes.com/homes-for-rent/,,https://www.coldwellbanker.com/,
houses for sale,0,10,0,56,0,450000,100,0.67,0.43,72,transactional,,https://www.homes.com/houses-for-sale/,,https://www.coldwellbanker.com/coldwell-banker-evenbay-real-estate-51431c,
appletv,0,0,0,0,42,368000,100,1.17,0.52,88,"navigational, transactional",,,,,https://www.sothebysrealty.com/eng/appletv
houses for rent,0,11,0,0,0,368000,92,0.50,0.38,43,informational,,https://www.homes.com/irving-tx/houses-for-rent/,,,
cold stone,0,0,0,59,0,301000,75,0.17,0.01,74,navigational,,,,https://www.coldwellbanker.com/,
coldstone,0,0,0,60,0,301000,84,0.17,0.01,89,navigational,,,,https://www.coldwellbanker.com/,
homes for sale,0,4,0,13,0,301000,100,0.66,0.37,72,transactional,,https://www.homes.com/,,https://www.coldwellbanker.com/,
real estate,0,54,5,4,47,301000,100,1.15,0.15,2170000000,commercial,,https://www.homes.com/,https://www.century21.com/,https://www.coldwellbanker.com/,https://www.sothebysrealty.com/eng
amortization calculator,0,0,24,0,0,246000,88,0.72,0.19,1520000000,"informational, transactional",,,https://www.century21.com/calculators/amortization,,
john goodman,0,0,0,70,0,246000,72,0.67,0,140000000,"informational, transactional",,,,https://www.coldwellbanker.com/Coldwell-Banker-Weir-Manuel-9889c/John-Goodman-376499a,
land for sale near me,0,13,0,24,0,246000,74,0.36,0.45,62,transactional,,https://www.homes.com/land-for-sale/,,https://www.coldwellbanker.com/,
anthony ramos,0,0,53,0,0,201000,73,0.36,0,28200000,informational,,,https://www.century21.com/real-estate-agent/profile/anthony-ramos-P25289875,,
coldwell banker,0,0,0,1,0,201000,100,0.46,0.19,22400000,navigational,,,,https://www.coldwellbanker.com/,
homes for rent near me,0,6,0,38,0,201000,96,0.49,0.38,53,"informational, transactional",,https://www.homes.com/homes-for-rent/,,https://www.coldwellbanker.com/,
house for sale near me,0,12,0,13,0,201000,97,0.74,0.41,49,"informational, transactional",,https://www.homes.com/houses-for-sale/,,https://www.coldwellbanker.com/,
mobile homes for sale,0,5,15,0,0,201000,85,0.54,0.38,92,transactional,,https://www.homes.com/los-angeles-county-ca/mobile-homes-for-sale/,https://www.century21.com/real-estate/new-hampshire/LSNH/?pt=8,,
century 21,0,0,1,0,0,165000,91,0.57,0.15,1800000000,navigational,,,https://www.century21.com/,,
google slide,0,92,0,0,0,165000,100,0.97,0,1780000000,"informational, transactional",,https://marketing.homes.com/10-steps-to-create-your-custom-theme-in-google-slides/,,,
homes for rent,0,1,0,0,0,165000,100,0.50,0.38,56,informational,,https://www.homes.com/fayetteville-nc/homes-for-rent/,,,
hotpads,0,32,0,0,0,165000,66,0.76,0.03,53,navigational,,https://www.homes.com/,,,
house for sale,0,9,0,52,0,165000,100,0.67,0.43,68,transactional,,https://www.homes.com/phoenix-az/,,https://www.coldwellbanker.com/coldwell-banker-evenbay-real-estate-51431c,
land for sale,0,17,24,0,0,165000,79,0.29,0.47,74,"navigational, transactional",,https://www.homes.com/land-for-sale/,https://www.century21.com/real-estate/oregon/LSOR/?pt=4,,
lifestyle,0,0,0,0,62,165000,100,0.55,0,6280000000,navigational,,,,,https://www.sothebysrealty.com/eng/category/lifestyles
michael shannon,0,0,0,72,0,165000,49,2.39,0,149000000,informational,,,,https://www.coldwellbanker.com/Coldwell-Banker-Tomlinson-46915c/Michael-Shannon-7501427a,
valero,0,0,90,0,0,165000,91,1.61,0.01,43100000,navigational,,,https://www.century21.com/real-estate-agent/profile/rito-valero-P25027224,,
craigslist long island,0,43,0,0,0,135000,68,0.96,0,55,"navigational, transactional",,https://www.homes.com/suffolk-county-ny/mobile-homes-for-sale/,,,
elin nordegren,0,87,0,0,0,135000,63,0.00,0,1090000,informational,,https://www.homes.com/blog/2018/04/tiger-woods-ex-wife-elin-nordegren-selling-florida-mansion-for-49-5-million/,,,
house for rent,0,7,0,0,0,135000,99,0.50,0.38,62,informational,,https://www.homes.com/nashville-tn/houses-for-rent/,,,
katharine ross,0,0,0,0,47,135000,59,0.00,0,9770000,informational,,,,,https://www.sothebysrealty.com/eng/associate/180-a-2249-4024664/katharine-ross
kelly price,0,0,71,0,0,135000,69,0.00,0,351000000,informational,,,https://www.century21.com/real-estate-agent/profile/kelly-price-P80109487,,
miranda kerr,0,0,0,0,82,135000,76,0.00,0,21700000,informational,,,,,https://www.sothebysrealty.com/eng/miranda-kerrs-5-favorite-things-september
rentals near me,0,4,0,0,0,135000,100,0.57,0.37,73,transactional,,https://www.homes.com/homes-for-rent/,,,
rosa salazar,0,0,66,0,0,135000,51,0.32,0,52100000,informational,,,https://www.century21.com/real-estate-agent/profile/rosa-salazar-P25038922,,
tom hopper,0,0,73,0,0,135000,64,0.00,0,42200000,informational,,,https://www.century21.com/real-estate-agent/profile/thomas-hopper-P10337263,,
apartment for rent,0,22,0,0,0,110000,100,0.60,0.4,67,navigational,,https://www.homes.com/apartments-for-rent/,,,
ashley williams,0,0,0,84,0,110000,62,0.41,0.01,145000000,informational,,,,https://www.coldwellbanker.com/Coldwell-Banker-Town-%26-Country-Properties-1793c/Ashley-Williams-7567867a,
cayman islands,0,0,0,0,72,110000,76,0.85,0.04,416000000,"informational, transactional",,,,,https://www.sothebysrealty.com/eng/sales/cym
craigslist ventura,0,33,0,0,0,110000,38,0.47,0,68,navigational,,https://www.homes.com/ventura-county-ca/mobile-homes-for-sale/,,,
house for rent near me,0,4,0,0,0,110000,79,0.43,0.35,71,"informational, transactional",,https://www.homes.com/homes-for-rent/,,,
houses,0,4,30,66,0,110000,100,0.77,0.55,13580000000,navigational,,https://www.homes.com/houses-for-sale/,https://www.century21.com/real-estate/los-angeles-ca/LCCALOSANGELES/,https://www.coldwellbanker.com/,
jennifer meyer,0,0,91,0,0,110000,64,1.64,0.05,42700000,"informational, navigational",,,https://www.century21.com/real-estate-agent/profile/jennifer-meyer-P25335678,,
kim fields,0,0,0,28,0,110000,62,0.41,0,212000000,informational,,,,https://www.coldwellbanker.com/Coldwell-Banker-McMahan-3533c/Kim-Fields-384695a,
poen,0,0,0,17,0,110000,37,0.00,0,1060000000,"informational, transactional",,,,https://www.coldwellbanker.com/Coldwell-Banker-BAIN-10661c/Kimberly-Poen-7546937a,
robert wagner,0,0,85,0,0,110000,50,0.33,0,139000000,informational,,,https://www.century21.com/real-estate-agent/profile/robert-wagner-P80097471,,
townhomes for rent,0,6,0,0,0,110000,66,0.64,0.3,47,commercial,,https://www.homes.com/houston-tx/townhouses-for-rent/,,,
aj johnson,0,0,53,0,0,90500,62,0.00,0,238000000,"informational, transactional",,,https://www.century21.com/real-estate-agent/profile/aj-johnson-P25406189,,
carmel by the sea,0,0,0,0,85,90500,73,0.51,0.05,37400000,"informational, navigational",,,,,https://www.sothebysrealty.com/eng/sales/carmel-by-the-sea-ca-usa
century,0,0,77,0,0,90500,94,0.25,0.02,3530000000,commercial,,,https://www.century21.com/,,
commercial real estate,0,0,22,0,0,90500,100,1.78,0.46,763000000,navigational,,,https://commercial.century21.com/,,
condos for sale near me,0,5,0,13,0,90500,75,0.47,0.44,62,"informational, transactional",,https://www.homes.com/condos-for-sale/,,https://www.coldwellbanker.com/,
craigslist monterey,0,28,0,0,0,90500,34,1.01,0,58,"navigational, transactional",,https://www.homes.com/monterey-county-ca/mobile-homes-for-sale/,,,
hallmark near me,0,0,0,50,0,90500,68,0.41,0.03,88,"navigational, transactional",,,,https://www.coldwellbanker.com/,
homes,0,1,0,24,0,90500,100,0.79,0,25270000000,navigational,,https://www.homes.com/,,https://www.coldwellbanker.com/,
john witherspoon,0,0,0,0,70,90500,61,0.00,0,15300000,"informational, transactional",,,,,https://www.sothebysrealty.com/eng/associate/180-a-4602-4036256/john-witherspoon
katie douglas,0,0,20,0,0,90500,64,0.00,0,27200000,informational,,,https://www.century21.com/real-estate-agent/profile/katie-douglas-P80107378,,
kelly macdonald,0,0,63,0,0,90500,56,0.00,0,34800000,"informational, transactional",,,https://www.century21.com/real-estate-agent/profile/kelly-macdonald-P25017597,,
