Keyword,homelight.com,homes.com,century21.com,coldwellbanker.com,sothebysrealty.com,Search Volume,Keyword Difficulty,CPC,Competition,Results,Keyword Intents,homelight.com (pages),homes.com (pages),century21.com (pages),coldwellbanker.com (pages),sothebysrealty.com (pages)
real estate agents,57,35,25,4,37,14800,100,7.84,0.32,993000000,commercial,https://www.homelight.com/blog/find-a-realtor/,https://www.homes.com/real-estate-agents/,https://www.century21.com/,https://www.coldwellbanker.com/,https://www.sothebysrealty.com/eng
homes for sale in n. carolina,62,4,6,56,12,9900,71,0.50,0.32,32200000,"informational, transactional",https://www.homelight.com/blog/selling-a-house-as-is-in-nc/,https://www.homes.com/north-carolina/,https://www.century21.com/real-estate/north-carolina/LSNC/,https://www.coldwellbanker.com/for-sale-homes/Pinehurst-NC-17938c,https://www.sothebysrealty.com/eng/sales/nc-usa
houses for sale in north carolina,69,6,5,33,12,9900,71,0.54,0.35,72500000,"informational, transactional",https://www.homelight.com/states/nc/homes-for-sale,https://www.homes.com/north-carolina/,https://www.century21.com/real-estate/north-carolina/LSNC/,https://www.coldwellbanker.com/for-sale-homes/Raleigh-NC-128c,https://www.sothebysrealty.com/eng/sales/nc-usa
homes for sale in arizona,90,8,5,31,14,8100,79,0.59,0.35,84500000,"informational, transactional",https://www.homelight.com/arizona-village-az/real-estate-agent-commissions,https://www.homes.com/arizona/,https://www.century21.com/real-estate/arizona/LSAZ/,https://www.coldwellbanker.com/for-sale-homes/Cottonwood-AZ-2288c,https://www.sothebysrealty.com/eng/sales/az-usa
homes for sale in charlotte nc,74,6,11,42,24,8100,72,0.75,0.36,19100000,"informational, transactional",https://www.homelight.com/charlotte-nc/top-real-estate-agents,https://www.homes.com/charlotte-nc/,https://www.century21.com/real-estate/charlotte-nc/LCNCCHARLOTTE/,https://www.coldwellbanker.com/for-sale-homes/Charlotte-NC-199c,https://www.sothebysrealty.com/eng/sales/charlotte-nc-usa
homes for sale in franklin tn,46,8,29,10,11,8100,66,0.59,0.35,11500000,"informational, transactional",https://www.homelight.com/best-time-to-sell-house/franklin-tn,https://www.homes.com/franklin-tn/,https://www.century21.com/real-estate/franklin-tn/LCTNFRANKLIN/,https://www.coldwellbanker.com/for-sale-homes/Franklin-TN-162c,https://www.sothebysrealty.com/eng/sales/franklin-tn-usa
homes for sale in nc,49,6,5,18,12,8100,71,0.50,0.32,81,"informational, transactional",https://www.homelight.com/states/nc/homes-for-sale,https://www.homes.com/north-carolina/,https://www.century21.com/real-estate/north-carolina/LSNC/,https://www.coldwellbanker.com/for-sale-homes/Supply-NC-21366c,https://www.sothebysrealty.com/eng/sales/nc-usa
homes for sale louisville ky,53,7,9,16,15,8100,69,0.52,0.3,9460000,"informational, transactional",https://www.homelight.com/best-time-to-sell-house/louisville-ky,https://www.homes.com/louisville-ky/,https://www.century21.com/real-estate/louisville-ky/LCKYLOUISVILLE/,https://www.coldwellbanker.com/for-sale-homes/Louisville-KY-5225c,https://www.sothebysrealty.com/eng/sales/louisville-ky-usa
homes for sale sarasota fl,61,8,11,12,14,8100,72,0.56,0.4,98,"informational, transactional",https://www.homelight.com/sarasota-fl/top-real-estate-agents,https://www.homes.com/sarasota-fl/,https://www.century21.com/real-estate/sarasota-fl/LCFLSARASOTA/,https://www.coldwellbanker.com/for-sale-homes/Sarasota-FL-8019c,https://www.sothebysrealty.com/eng/sales/sarasota-fl-usa
las vegas real estate,58,11,8,13,21,8100,80,0.92,0.35,142000000,informational,https://www.homelight.com/las-vegas-nv/top-real-estate-agents,https://www.homes.com/las-vegas-nv/,https://www.century21.com/real-estate/las-vegas-nv/LCNVLASVEGAS/,https://www.coldwellbanker.com/for-sale-homes/Las-Vegas-NV-221c,https://www.sothebysrealty.com/eng/sales/las-vegas-nv-usa
naples florida real estate,66,12,9,14,15,8100,72,0.82,0.42,14600000,informational,https://www.homelight.com/naples-fl/top-real-estate-agents,https://www.homes.com/naples-fl/,https://www.century21.com/real-estate/naples-fl/LCFLNAPLES/,https://www.coldwellbanker.com/for-sale-homes/Naples-FL-6025c,https://www.sothebysrealty.com/eng/sales/naples-fl-usa
san diego homes for sale,53,6,7,13,14,8100,66,0.79,0.35,100,"informational, transactional",https://www.homelight.com/blog/buyer-buy-house-san-diego/,https://www.homes.com/san-diego-ca/,https://www.century21.com/real-estate/san-diego-ca/LCCASANDIEGO/,https://www.coldwellbanker.com/for-sale-homes/San-Diego-CA-246c,https://www.sothebysrealty.com/eng/sales/san-diego-ca-usa
the villages florida homes for sale,31,8,9,11,15,8100,66,0.34,0.44,89,"informational, transactional",https://www.homelight.com/the-villages-fl/homes-for-sale,https://www.homes.com/the-villages-fl/,https://www.century21.com/real-estate/the-villages-fl/LCFLTHEVILLAGES/,https://www.coldwellbanker.com/for-sale-homes/The-Villages-FL-8897c,https://www.sothebysrealty.com/eng/sales/the-villages-fl-usa
bakersfield homes for sale,39,8,9,16,15,6600,68,0.34,0.33,7340000,"informational, transactional",https://www.homelight.com/bakersfield-ca/real-estate-agent-commissions,https://www.homes.com/bakersfield-ca/,https://www.century21.com/real-estate/bakersfield-ca/LCCABAKERSFIELD/,https://www.coldwellbanker.com/for-sale-homes/Bakersfield-CA-868c,https://www.sothebysrealty.com/eng/sales/bakersfield-ca-usa
