,Keyword,Top Ranked URL,Rank,Rank Change,Search Volume,Ranking Difficulty,Broad Cost Per Click,Phrase Cost Per Click,Exact Cost Per Click,SEO Clicks,SEO Clicks Change,Total Monthly Clicks,Mobile Search Percent,Desktop Search Percent,Searches Not Clicked Percent,Paid Clicks Percent,Organic Clicks Percent,Broad Monthly Cost,Phrase Monthly Cost,Exact Monthly Cost,Ads,Number of Ranking Homepages
8,rent to own homes,https://www.homelight.com/blog/buyer-ultimate-guide-to-rent-to-own-homes/,5,8.0,20100.0,92,0.96,1.22,1.33,690,420.0,14600.0,,,,,,140906.4,45294.3,16903.2,12,7
418,rent to own houses,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,6,7.0,1800.0,91,0.82,1.3,1.36,50,26.0,1400.0,0.6676376953842249,0.332362304615775,0.24418604651162804,0.37435897371904403,0.625641024571554,110935.8,4875.9,3273.3,13,6
47,rent to own,https://www.homelight.com/blog/buyer-ultimate-guide-to-rent-to-own-homes/,20,12.0,24400.0,96,1.4,1.41,1.8,220,80.0,15100.0,,,,,,79048.8,69437.1,7035.0,11,10
8216,rent to own free listings,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,12,4.0,570.0,21,1.24,1.52,1.6,8,2.0,460.0,0.7557142857142858,0.244285714285714,0.214285714285714,0.36363635261708,0.63636361707989,70340.4,92.1,80.4,18,13
17999,rent-to-own,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,29,1.0,810.0,52,1.39,1.42,1.79,5,0.0,460.0,0.40612494341330896,0.593875056586691,0.41489361702127703,0.309090903471074,0.6909090783471079,67899.3,57080.4,6955.5,7,11
2578,rent to buy homes,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,8,3.0,840.0,60,0.81,1.17,1.23,18,6.0,600.0,0.603454293628809,0.3965457063711911,0.305263157894737,0.265151513142792,0.7348484792814509,49233.6,806.4,447.9,5,8
3272,rent to own home,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,13,-2.0,1100.0,86,1.03,1.2,1.16,16,-2.0,810.0,0.74357570239334,0.25642429760666,0.266129032258064,0.280219778680111,0.719780215825384,43584.3,4419.3,74.4,12,9
13681,rent to own house,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,16,-2.0,570.0,43,0.9,1.11,1.29,6,-1.0,400.0,0.6928531746031751,0.307146825396825,0.297619047619048,0.342372880195346,0.657627116414823,33540.9,5749.8,762.0,10,12
709,renting my house,https://www.homelight.com/blog/buyer-how-to-rent-your-house/,1,0.0,230.0,56,2.02,4.17,2.68,38,0.0,110.0,,,,,,27537.6,494.4,0.0,12,9
1367,renting my home,https://www.homelight.com/blog/buyer-how-to-rent-your-house/,1,0.0,165.0,38,2.09,4.58,,28,0.0,110.0,,,,,,26500.8,115.8,0.0,17,4
20646,house rent to own,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,13,1.0,320.0,23,0.86,1.13,1.19,4,0.0,210.0,0.676418137352105,0.323581862647895,0.33333333333333304,0.40243901948245103,0.597560968322427,23637.6,1064.7,848.1,15,9
5014,rent to own properties,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,7,9.0,440.0,55,0.96,1.13,1.27,12,7.0,360.0,0.443014061358656,0.556985938641344,0.209459459459459,0.205128203374973,0.7948717880780191,21723.0,668.4,186.0,4,10
1965,rent to own programs,https://www.homelight.com/blog/buyer-rent-to-own-homes-programs/,7,-4.0,900.0,31,1.37,1.39,1.52,22,-28.0,630.0,0.561808374960145,0.4381916250398549,0.29381443298969107,0.35036496094624103,0.649635031754489,17767.2,2078.4,707.7,19,4
62123,rent the house,https://www.homelight.com/blog/buyer-how-to-rent-your-house/,14,23.0,125.0,71,0.97,1.04,1.85,2,1.0,70.0,,,,,,17747.7,12.0,9.0,12,21
2168,renting,https://www.homelight.com/blog/pros-and-cons-of-renting-your-home/,32,43.0,3500.0,98,0.87,0.89,0.76,20,13.0,1700.0,0.508051061542596,0.491948938457404,0.518032786885246,0.23129251622009303,0.768707480378546,17544.3,10575.3,491.7,0,15
57907,rent to own homes in my area,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,4,0.0,44.0,52,1.52,,1.52,2,0.0,36.0,,,,,,14954.79,,14954.79,0,13
11011,houses rent to own,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,14,1.0,570.0,28,0.91,1.13,1.27,7,0.0,420.0,0.691501111712036,0.308498888287963,0.263565891472868,0.321052629889197,0.6789473648476461,13091.7,1887.9,967.5,15,8
12272,rent to own homes free listings,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,12,0.0,420.0,32,1.1,1.35,1.43,6,0.0,340.0,0.625989854318418,0.37401014568158203,0.193548387096774,0.2899999971,0.7099999929,12233.1,225.9,154.2,11,11
